Domain ID,Annotation,Matched Members,Matched Count,Raw Enrichment P-value,Raw Enrichment Q-value,Raw Depletion P-value,Raw Depletion Q-value,Domain Enrichment P-value,Domain Enrichment Q-value,Domain Depletion P-value,Domain Depletion Q-value
-1,maintenance of protein location in cell,,0,0.001,0.10775000000000001,0.589,0.9583052714398111,1.0,1.0,1.0,1.0
20,mRNA splice site recognition,CDC40;ISY1;LUC7;NAM8;PRP28;PRP39;PRP42;PRP8;PRP9;SKY1;YHC1,11,0.001,0.18471428571428572,0.804,0.9583052714398111,0.001,0.18471428571428572,1.0,1.0
-1,transsulfuration,,0,1.0,1.0,0.91,0.9583052714398111,1.0,1.0,1.0,1.0
-1,signal peptide processing,,0,0.001,0.044586206896551725,0.869,0.9583052714398111,1.0,1.0,1.0,1.0
-1,regulation of phosphatidylinositol dephosphorylation,,0,0.001,0.32325,0.892,0.9583052714398111,1.0,1.0,1.0,1.0
-1,regulation of actin polymerization or depolymerization,,0,0.001,0.07183333333333333,0.744,0.9583052714398111,1.0,1.0,1.0,1.0
-1,indole-containing compound catabolic process,,0,0.046,1.0,0.857,0.9583052714398111,1.0,1.0,1.0,1.0
-1,purine nucleoside metabolic process,,0,1.0,1.0,0.861,0.9583052714398111,1.0,1.0,1.0,1.0
-1,nonfunctional rRNA decay,,0,0.002,0.8620000000000001,0.716,0.9583052714398111,1.0,1.0,1.0,1.0
-1,negative regulation of DNA-templated DNA replication,,0,0.004,1.0,0.824,0.9583052714398111,1.0,1.0,1.0,1.0
-1,pseudouridine synthesis,,0,0.013,1.0,0.777,0.9583052714398111,1.0,1.0,1.0,1.0
-1,glycine metabolic process,,0,0.001,0.6465,0.848,0.9583052714398111,1.0,1.0,1.0,1.0
54,negative regulation of silent mating-type cassette heterochromatin formation,CTI6;DEP1;FKH2;PHO23;RPD3;RXT2;SAP30;SDS3;SIN3;WTM1;WTM2,11,0.009,0.7640454545454545,0.821,0.9583052714398111,0.014,1.0,0.986,1.0
-1,positive regulation of protein modification by small protein conjugation or removal,,0,0.004,0.8620000000000001,0.818,0.9583052714398111,1.0,1.0,1.0,1.0
48,negative regulation of proteolysis involved in protein catabolic process,ESS1;MND2;PTH2;SCM3;UBP6,5,0.011,0.9338333333333333,0.92,0.9583052714398111,0.011,0.9338333333333333,1.0,1.0
-1,replication fork processing,,0,0.003,0.43100000000000005,0.818,0.9583052714398111,1.0,1.0,1.0,1.0
-1,lysine biosynthetic process via aminoadipic acid,,0,0.006,0.7542500000000001,0.852,0.9583052714398111,1.0,1.0,1.0,1.0
36,carbon catabolite regulation of transcription from RNA polymerase II promoter,ADR1;CAT8;CST6;ERT1;GCR1;HAP5;IMP21;MIG1;NRG2;RDS2;SNF5;SNF8;SPT6;SSN2;SSN3;STB3;SWI1;SWI3;TUP1;VPS25;VPS36,21,0.005,0.6465,0.668,0.9583052714398111,0.005,0.6465,1.0,1.0
29,nuclear polyadenylation-dependent rRNA catabolic process,AIR1;AIR2;CSL4;DIS3;LRP1;MPP6;MTR3;MTR4;PAP2;RAI1;RAT1;RRP4;RRP40;RRP42;RRP43;RRP45;RRP46;RRP6;TRF5,19,0.001,0.03402631578947368,0.707,0.9583052714398111,0.001,0.03402631578947368,0.986,1.0
43,mitochondrion localization,ABF2;AIM21;ARC15;ARC18;ARP2;BUL1;CLU1;DNM1;FZO1;GEM1;JSN1;MDM10;MDM20;MDM32;MMR1;MYO2;NAT3;NUM1;OLE1;PHB1;PHB2;PUF3,22,0.001,0.07183333333333333,0.662,0.9583052714398111,0.001,0.07183333333333333,1.0,1.0
47,positive regulation of nucleocytoplasmic transport,CLA4;FUS3;POR1;RIO2;SKY1,5,0.015,1.0,0.923,0.9583052714398111,0.015,1.0,1.0,1.0
-1,mitochondrial DNA metabolic process,,0,0.157,1.0,0.805,0.9583052714398111,1.0,1.0,1.0,1.0
-1,exit from mitosis,,0,0.011,1.0,0.51,0.9583052714398111,1.0,1.0,1.0,1.0
-1,very long-chain fatty acid biosynthetic process,,0,0.006,1.0,0.905,0.9583052714398111,1.0,1.0,1.0,1.0
-1,nucleus localization,,0,1.0,1.0,0.729,0.9583052714398111,1.0,1.0,1.0,1.0
-1,snRNA pseudouridine synthesis,,0,0.007,1.0,0.863,0.9583052714398111,1.0,1.0,1.0,1.0
43,vesicle cytoskeletal trafficking,MYO2;MYO3;MYO4;MYO5;PAC1,5,0.013,0.8004285714285714,0.921,0.9583052714398111,0.013,0.8004285714285714,1.0,1.0
-1,positive regulation of signal transduction,,0,0.001,0.14366666666666666,0.57,0.9583052714398111,1.0,1.0,1.0,1.0
-1,regulation of cell shape,,0,0.005,1.0,0.827,0.9583052714398111,1.0,1.0,1.0,1.0
-1,regulation of cell division,,0,0.011,0.7696428571428572,0.635,0.9583052714398111,1.0,1.0,1.0,1.0
-1,ribonucleoside monophosphate metabolic process,,0,0.019,0.895153846153846,0.523,0.9583052714398111,1.0,1.0,1.0,1.0
-1,pyrimidine nucleobase metabolic process,,0,0.006,1.0,0.805,0.9583052714398111,1.0,1.0,1.0,1.0
-1,glycosyl compound catabolic process,,0,0.033,1.0,0.908,0.9583052714398111,1.0,1.0,1.0,1.0
-1,protein O-linked glycosylation,,0,0.001,0.044586206896551725,0.806,0.9583052714398111,1.0,1.0,1.0,1.0
-1,NADH oxidation,,0,0.057,1.0,0.843,0.9583052714398111,1.0,1.0,1.0,1.0
-1,AMP metabolic process,,0,0.001,0.6465,0.871,0.9583052714398111,1.0,1.0,1.0,1.0
47,establishment of protein localization to mitochondrial membrane,DJP1;MDM10;MDM38;MMM1;MRX15;OXA1;SAM35;SAM37;SAM50;TIM18;TIM54;TOM22;TOM70;TOM71,14,0.011,1.0,0.772,0.9583052714398111,0.046,1.0,0.999,1.0
-1,positive regulation of binding,,0,0.014,1.0,0.844,0.9583052714398111,1.0,1.0,1.0,1.0
59,vesicle coating,GCS1;GLO3;SAR1;SEC16;SEC23;SEC28;SED4,7,0.01,1.0,0.887,0.9583052714398111,0.01,1.0,1.0,1.0
-1,regulation of clathrin-dependent endocytosis,,0,1.0,1.0,0.878,0.9583052714398111,1.0,1.0,1.0,1.0
-1,cellular modified amino acid biosynthetic process,,0,0.01,1.0,0.801,0.9583052714398111,1.0,1.0,1.0,1.0
40,amino acid catabolic process via Ehrlich pathway,ADH2;ADH3;ADH4;ADH5;ARO10;PDC1;PDC5;PDC6;SFA1,9,0.047,1.0,0.832,0.9583052714398111,0.047,1.0,0.996,1.0
-1,signal transduction involved in filamentous growth,,0,0.001,0.04973076923076923,0.87,0.9583052714398111,1.0,1.0,1.0,1.0
-1,cardiolipin metabolic process,,0,1.0,1.0,0.911,0.9583052714398111,1.0,1.0,1.0,1.0
-1,"positive regulation of cytokinesis, actomyosin contractile ring assembly",,0,0.01,0.7688108108108108,0.885,0.9583052714398111,1.0,1.0,1.0,1.0
-1,pheromone response MAPK cascade,,0,1.0,1.0,0.906,0.9583052714398111,1.0,1.0,1.0,1.0
-1,error-prone translesion synthesis,,0,1.0,1.0,0.829,0.9583052714398111,1.0,1.0,1.0,1.0
-1,mitotic spindle organization,,0,0.01,0.71115,0.561,0.9583052714398111,1.0,1.0,1.0,1.0
3,N-terminal protein amino acid acetylation,ARD1;MAK10;MAK3;MAK31;MDM20;NAT1;NAT3;NAT5,8,0.001,0.11754545454545455,0.866,0.9583052714398111,0.001,0.11754545454545455,1.0,1.0
-1,pyrimidine ribonucleoside monophosphate biosynthetic process,,0,0.003,0.6465000000000001,0.864,0.9583052714398111,1.0,1.0,1.0,1.0
-1,DNA duplex unwinding,,0,0.001,0.32325,0.555,0.9583052714398111,1.0,1.0,1.0,1.0
-1,axial cellular bud site selection,,0,0.007,1.0,0.838,0.9583052714398111,1.0,1.0,1.0,1.0
-1,mitochondrial RNA 5'-end processing,,0,1.0,1.0,0.894,0.9583052714398111,1.0,1.0,1.0,1.0
19,phosphate ion transmembrane transport,MIR1;PHO87;PHO89;PHO90;PHO91;PIC2;SYG1,7,0.001,0.10775000000000001,0.881,0.9583052714398111,0.001,0.10775000000000001,1.0,1.0
-1,mating type determination,,0,0.006,0.96975,0.688,0.9583052714398111,1.0,1.0,1.0,1.0
18,response to reactive oxygen species,CCP1;CCS1;CTT1;CUP1-1;CUP1-2;DDR2;DRE2;HSP42;MDL2;MRP1;RSM26;SKN7;SOD1;SOD2;TRR1;TRR2;YAP1;ZWF1,18,0.012,1.0,0.72,0.9583052714398111,0.012,1.0,1.0,1.0
-1,response to carbohydrate,,0,0.002,0.43100000000000005,0.832,0.9583052714398111,1.0,1.0,1.0,1.0
-1,copper ion transport,,0,1.0,1.0,0.851,0.9583052714398111,1.0,1.0,1.0,1.0
-1,protein localization to chromosome,,0,0.011,0.8288461538461539,0.546,0.9583052714398111,1.0,1.0,1.0,1.0
-1,monocarboxylic acid catabolic process,,0,0.012,1.0,0.721,0.96511004784689,1.0,1.0,1.0,1.0
-1,regulation of vesicle-mediated transport,,0,0.004,0.5746666666666667,0.528,0.9583052714398111,1.0,1.0,1.0,1.0
-1,regulation of translational fidelity,,0,0.003,0.29838461538461536,0.679,0.9583052714398111,1.0,1.0,1.0,1.0
-1,organic hydroxy compound catabolic process,,0,0.003,0.7388571428571429,0.862,0.9583052714398111,1.0,1.0,1.0,1.0
-1,protoporphyrinogen IX biosynthetic process,,0,1.0,1.0,0.917,0.9583052714398111,1.0,1.0,1.0,1.0
34,purine ribonucleotide catabolic process,CDC19;CIT1;EMI2;ENO1;ENO2;FBA1;GLK1;GPM1;GPM2;HXK1;HXK2;PDA1;PDB1;PFK1;PFK2;PFK27;PGI1;PGK1;PYK2;SCS3;TDH1;TDH2;TDH3;TPI1,24,0.001,0.039181818181818186,0.638,0.9583052714398111,0.001,0.039181818181818186,0.983,1.0
-1,establishment or maintenance of actin cytoskeleton polarity,,0,1.0,1.0,0.821,0.9583052714398111,1.0,1.0,1.0,1.0
-1,regulation of actin filament bundle assembly,,0,0.01,1.0,0.812,0.9583052714398111,1.0,1.0,1.0,1.0
-1,positive regulation of mitotic spindle pole body separation,,0,0.01,0.9293437499999999,0.877,0.9583052714398111,1.0,1.0,1.0,1.0
53,mitophagy,ATG13;ATG9;CTR9;GET1;GET2;PAF1;PBP1;PEP1;PPG1;WHI2,10,0.019,1.0,0.851,0.9583052714398111,0.019,1.0,1.0,1.0
-1,protein localization to vacuolar membrane,,0,0.054,1.0,0.884,0.9583052714398111,1.0,1.0,1.0,1.0
-1,postreplication repair,,0,0.019,1.0,0.651,0.9583052714398111,1.0,1.0,1.0,1.0
-1,cell wall integrity MAPK cascade,,0,1.0,1.0,0.844,0.9583052714398111,1.0,1.0,1.0,1.0
-1,phospholipid transport,,0,0.001,0.161625,0.617,0.9583052714398111,1.0,1.0,1.0,1.0
-1,microtubule polymerization or depolymerization,,0,0.008,0.6896,0.657,0.9583052714398111,1.0,1.0,1.0,1.0
-1,nucleoside triphosphate biosynthetic process,,0,0.001,0.07605882352941176,0.583,0.9583052714398111,1.0,1.0,1.0,1.0
-1,negative regulation of cell division,,0,0.005,0.6465,0.91,0.9583052714398111,1.0,1.0,1.0,1.0
-1,threonine biosynthetic process,,0,0.009,1.0,0.916,0.9583052714398111,1.0,1.0,1.0,1.0
-1,regulation of RNA polymerase II transcription preinitiation complex assembly,,0,0.001,0.06805263157894736,0.781,0.9583052714398111,1.0,1.0,1.0,1.0
-1,transcription initiation at RNA polymerase I promoter,,0,0.091,1.0,0.854,0.9583052714398111,1.0,1.0,1.0,1.0
-1,alditol metabolic process,,0,0.007,0.36204000000000003,0.819,0.9583052714398111,1.0,1.0,1.0,1.0
-1,deadenylation-dependent decapping of nuclear-transcribed mRNA,,0,0.001,0.14366666666666666,0.779,0.9583052714398111,1.0,1.0,1.0,1.0
-1,regulation of glucose metabolic process,,0,0.01,1.0,0.786,0.9583052714398111,1.0,1.0,1.0,1.0
-1,ribosomal large subunit assembly,,0,0.001,0.14366666666666666,0.455,0.9750146579804561,1.0,1.0,1.0,1.0
-1,retrotransposon silencing,,0,0.009,1.0,0.864,0.9583052714398111,1.0,1.0,1.0,1.0
37,folic acid-containing compound biosynthetic process,DFR1;FAU1;FOL2;MET7;MIS1;MTD1,6,0.03,1.0,0.89,0.9583052714398111,0.03,1.0,1.0,1.0
57,negative regulation of glycogen metabolic process,IGD1;PCL10;PCL8;PHO85;PSK1,5,0.001,0.053875000000000006,0.925,0.9583052714398111,0.001,0.053875000000000006,1.0,1.0
-1,pyrimidine-containing compound biosynthetic process,,0,0.012,0.9127058823529411,0.687,0.9583052714398111,1.0,1.0,1.0,1.0
